song name, artist, album, genre, link
Enter Sandman,Metallica,Metallica,Metal,https://open.spotify.com/track/5BIMPccDwShpXq784RJlJp?si=Woid1AJqSqyFNZBrq8UKRw
Nothing Else Matters ,Metallica,Metallica,Metal,https://open.spotify.com/track/10igKaIKsSB6ZnWxPxPvKO?si=FlWuLpXDRVOhD0XPO5MHsg
The Unforgiven,Metallica,Metallica,Metal,https://open.spotify.com/track/2lF8jQFhIjpmQa501sYXxR?si=Tq_s79RJROWx9q2G1cbIsg
Master Of Puppets ,Metallica,Master Of Puppets ,Metal,https://open.spotify.com/track/54bm2e3tk8cliUz3VSdCPZ?si=lXHWF1lcT_mog0pk-La_YQ
Back In Black ,AC/DC,Back In Black ,Hard Rock,https://open.spotify.com/track/08mG3Y1vljYA6bvDt4Wqkj?si=BIGI4UGsQUyGgoKSJ6O_gg
Thunderstruck,AC/DC,The Razors Edge,Hard Rock,https://open.spotify.com/track/57bgtoPSgt236HzfBOd8kj?si=H-XixzkdTc2FhdD4qPr1mA
Highway To Hell,AC/DC,Highway To Hell,Hard Rock,https://open.spotify.com/track/2zYzyRzz6pRmhPzyfMEC8s?si=S19SgvOJThKxk0PultdgBg
T.N.T,AC/DC,High Voltage,Hard Rock,https://open.spotify.com/track/7LRMbd3LEoV5wZJvXT1Lwb?si=RnBLVl3HROSI1dJcoCVHOg
Sweet Child O'Mine,Guns N'Roses,Appetite For Destruction,Hard Rock,https://open.spotify.com/track/7snQQk1zcKl8gZ92AnueZW?si=ybw-DByTQbajT9JPs91Dhw
November Rain,Guns N'Roses,Use Your Illusion I ,Hard Rock,https://open.spotify.com/track/3YRCqOhFifThpSRFJ1VWFM?si=xa0v7k9gRH2IG7GnpWWtVg
Paradise City,Guns N'Roses,Appetite For Destruction,Hard Rock,https://open.spotify.com/track/6eN1f9KNmiWEhpE2RhQqB5?si=3mD5UA4lQEKr7aGNyUwhMg
Welcome To The Jungle,Guns N'Roses,Appetite For Destruction,Hard Rock,https://open.spotify.com/track/0G21yYKMZoHa30cYVi1iA8?si=AbNzZkOOSjW5gcCEAFY_Mw
Here Comes The Sun,The Beatles,Abbey Road,Rock / Blues,https://open.spotify.com/track/6dGnYIeXmHdcikdzNNDMm2?si=_-Bv4WnmT-maxQTHapNlgw
Hey Jude,The Beatles,1,Rock / Blues,https://open.spotify.com/track/0aym2LBJBk9DAYuHHutrIl?si=01VDLm90RS2FfzsR_BrVzA
